PDC Year,Log name,Algorithm,TP,FP,TN,FN,Fscore (PDC),Fscore,balancedAccuracy,mcc,Fitness,Simplicity,Subprocesses,Events,Runtime
PDC20,pdc_2020_0211010.xes,Sp-DisCoveR_no_i2e_e2i,518,258,224,0,0.6345609065155807,0.8006182380216383,0.7323651452282158,0.5569734701621556,1.0,41,0,22,1.218543529510498
PDC20,pdc_2020_1200100.xes,DisCoveR,500,237,263,0,0.6893840104849279,0.8084074373484236,0.763,0.5973709928685522,1.0,152,0,36,0.5250072479248047
PDC20,pdc_2020_1200100.xes,Sp-DisCoveR,500,237,263,0,0.6893840104849279,0.8084074373484236,0.763,0.5973709928685522,1.0,149,1,37,2.3347110748291016
PDC20,pdc_2020_1200100.xes,Sp-DisCoveR_no_i2e_e2i,500,237,263,0,0.6893840104849279,0.8084074373484236,0.763,0.5973709928685522,1.0,143,1,37,2.300741195678711
PDC20,pdc_2020_0201101.xes,DisCoveR,555,405,40,0,0.16494845360824742,0.7326732673267327,0.5449438202247191,0.22796116365475821,1.0,10,0,24,0.33322954177856445
PDC20,pdc_2020_0201101.xes,Sp-DisCoveR,555,405,40,0,0.16494845360824742,0.7326732673267327,0.5449438202247191,0.22796116365475821,1.0,10,0,24,1.3991053104400635
PDC20,pdc_2020_0201101.xes,Sp-DisCoveR_no_i2e_e2i,555,405,40,0,0.16494845360824742,0.7326732673267327,0.5449438202247191,0.22796116365475821,1.0,10,0,24,1.3614463806152344
PDC20,pdc_2020_0011000.xes,DisCoveR,510,0,490,0,1.0,1.0,1.0,1.0,1.0,56,0,16,0.046094655990600586
PDC20,pdc_2020_0011000.xes,Sp-DisCoveR,510,0,490,0,1.0,1.0,1.0,1.0,1.0,50,1,17,0.5359930992126465
PDC20,pdc_2020_0011000.xes,Sp-DisCoveR_no_i2e_e2i,510,0,490,0,1.0,1.0,1.0,1.0,1.0,50,1,17,0.5332581996917725
PDC20,pdc_2020_1101010.xes,DisCoveR,505,174,321,0,0.7867647058823529,0.8530405405405406,0.8242424242424242,0.6944815598299298,1.0,58,0,22,0.17246150970458984
PDC20,pdc_2020_1101010.xes,Sp-DisCoveR,505,169,326,0,0.7941534713763703,0.8566581849024597,0.8292929292929293,0.7024605531717788,1.0,57,1,23,1.146533727645874
PDC20,pdc_2020_1101010.xes,Sp-DisCoveR_no_i2e_e2i,505,171,324,0,0.7912087912087912,0.8552074513124471,0.8272727272727273,0.6992657333915647,1.0,53,1,23,1.1317012310028076
